,date,meantemp
0,2017-01-01,15.91304347826087
1,2017-01-02,18.5
2,2017-01-03,17.11111111111111
3,2017-01-04,18.7
4,2017-01-05,18.38888888888889
5,2017-01-06,19.318181818181817
6,2017-01-07,14.708333333333334
7,2017-01-08,15.68421052631579
8,2017-01-09,14.571428571428571
9,2017-01-10,12.11111111111111
10,2017-01-11,11.0
11,2017-01-12,11.789473684210526
12,2017-01-13,13.235294117647058
13,2017-01-14,13.2
14,2017-01-15,16.434782608695652
15,2017-01-16,14.65
16,2017-01-17,11.72222222222222
17,2017-01-18,13.041666666666666
18,2017-01-19,14.61904761904762
19,2017-01-20,15.263157894736842
20,2017-01-21,15.391304347826088
21,2017-01-22,18.44
22,2017-01-23,18.11764705882353
23,2017-01-24,18.347826086956523
24,2017-01-25,21.0
25,2017-01-26,16.178571428571427
26,2017-01-27,16.5
27,2017-01-28,14.863636363636363
28,2017-01-29,15.666666666666666
29,2017-01-30,16.444444444444443
30,2017-01-31,16.125
31,2017-02-01,15.25
32,2017-02-02,17.09090909090909
33,2017-02-03,15.636363636363637
34,2017-02-04,18.7
35,2017-02-05,18.63157894736842
36,2017-02-06,16.88888888888889
37,2017-02-07,15.125
38,2017-02-08,15.7
39,2017-02-09,15.375
40,2017-02-10,14.666666666666666
41,2017-02-11,15.625
42,2017-02-12,16.25
43,2017-02-13,16.333333333333332
44,2017-02-14,16.875
45,2017-02-15,17.571428571428573
46,2017-02-16,20.25
47,2017-02-17,21.3
48,2017-02-18,21.125
49,2017-02-19,22.363636363636363
50,2017-02-20,23.375
51,2017-02-21,21.83333333333333
52,2017-02-22,19.125
53,2017-02-23,18.625
54,2017-02-24,19.125
55,2017-02-25,19.0
56,2017-02-26,18.75
57,2017-02-27,19.875
58,2017-02-28,23.33333333333333
59,2017-03-01,24.46153846153846
60,2017-03-02,23.75
61,2017-03-03,20.5
62,2017-03-04,19.125
63,2017-03-05,19.75
64,2017-03-06,20.0
65,2017-03-07,22.625
66,2017-03-08,21.545454545454547
67,2017-03-09,20.785714285714285
68,2017-03-10,19.9375
69,2017-03-11,18.53333333333333
70,2017-03-12,17.375
71,2017-03-13,17.444444444444443
72,2017-03-14,18.0
73,2017-03-15,19.875
74,2017-03-16,24.0
75,2017-03-17,20.9
76,2017-03-18,24.692307692307693
77,2017-03-19,24.666666666666668
78,2017-03-20,23.33333333333333
79,2017-03-21,25.0
80,2017-03-22,27.25
81,2017-03-23,28.0
82,2017-03-24,28.916666666666668
83,2017-03-25,26.5
84,2017-03-26,29.1
85,2017-03-27,29.5
86,2017-03-28,29.88888888888889
87,2017-03-29,31.0
88,2017-03-30,29.285714285714285
89,2017-03-31,30.625
90,2017-04-01,31.375
91,2017-04-02,29.75
92,2017-04-03,30.5
93,2017-04-04,30.933333333333334
94,2017-04-05,29.23076923076923
95,2017-04-06,31.22222222222222
96,2017-04-07,27.0
97,2017-04-08,25.625
98,2017-04-09,27.125
99,2017-04-10,27.857142857142858
100,2017-04-11,29.25
101,2017-04-12,29.25
102,2017-04-13,29.666666666666668
103,2017-04-14,30.5
104,2017-04-15,31.22222222222222
105,2017-04-16,31.0
106,2017-04-17,32.55555555555556
107,2017-04-18,34.0
108,2017-04-19,33.5
109,2017-04-20,34.5
110,2017-04-21,34.25
111,2017-04-22,32.9
112,2017-04-23,32.875
113,2017-04-24,32.0
